year,month,count
2018,1,995062
2018,1,1003620
2018,1,932459
2018,1,2152533
2018,1,2553357
2018,1,2503880
2018,1,2317450
2018,1,2364255
2018,1,2246317
2018,1,1833392
2018,1,1561280
2019,2,902308
2019,2,1247852
2019,2,1297190
2019,2,1865087
2019,2,1873008
2019,2,1922312
2019,2,1704383
2019,2,2020375
2019,2,1679820
2019,2,1379809
2019,2,1237925
2020,3,1050727
2020,3,968196
2020,3,1138918
2020,3,1648869
2020,3,1909762
2020,3,2370616
2020,3,2129878
2020,3,2335212
2020,3,2413646
2020,3,1802536
2020,3,1585408
2020,3,1110980
2021,4,801961
2021,4,851895
2021,4,1301348
2021,4,1442458
2021,4,1735433
2021,4,2251548
2021,4,1899927
2021,4,2256431
2021,4,2321870
2021,4,1751968
2021,4,1553702
2022,5,950647
2022,5,1085307
2022,5,1514002
2022,5,1458204
2022,5,2454064
2022,5,2386884
2022,5,2084010
2022,5,2192198
2022,5,2123707
2022,5,2026764
2022,5,1735814
2023,6,1534204
2023,6,1523127
2023,6,1609893
2023,6,1985541
2023,6,2902655
2023,6,3015083
2023,6,2739297
2023,6,2456140
2023,6,2940566
2023,6,2015174
2023,6,1771807
